UID         PID   PPID  C STIME TTY          TIME CMD
root        348      2  0  2019 ?        00:00:00 [scsi_tmf_0]
root        349      2  0  2019 ?        00:00:00 [scsi_eh_1]
root        350      2  0  2019 ?        00:00:00 [scsi_tmf_1]
root        351      2  0  2019 ?        00:00:00 [scsi_eh_2]
root        352      2  0  2019 ?        00:00:00 [scsi_tmf_2]
root        353      2  0  2019 ?        00:00:00 [scsi_eh_3]
root        354      2  0  2019 ?        00:00:00 [scsi_tmf_3]
root        360      2  0  2019 ?        00:00:00 [scsi_eh_4]
root        361      2  0  2019 ?        00:00:00 [scsi_tmf_4]
root        362      2  0  2019 ?        00:00:00 [scsi_eh_5]
root        363      2  0  2019 ?        00:00:00 [scsi_tmf_5]
root        364      2  0  2019 ?        00:00:00 [scsi_eh_6]
root        365      2  0  2019 ?        00:00:00 [scsi_tmf_6]
root        366      2  0  2019 ?        00:00:00 [scsi_eh_7]
root        367      2  0  2019 ?        00:00:00 [scsi_tmf_7]
root        425      2  0  2019 ?        00:00:00 [kworker/0:1H]
root        466      2  0  2019 ?        00:00:00 [kdmflush]
root        467      2  0  2019 ?        00:00:00 [bioset]
root        474      2  0  2019 ?        00:00:00 [kdmflush]
root        475      2  0  2019 ?        00:00:00 [bioset]
root        492      2  0  2019 ?        00:00:00 [bioset]
root        493      2  0  2019 ?        00:00:00 [xfsalloc]
root        494      2  0  2019 ?        00:00:00 [xfs_mru_cache]
root        495      2  0  2019 ?        00:00:00 [xfs-buf/dm-1]
root        496      2  0  2019 ?        00:00:00 [xfs-data/dm-1]
root        497      2  0  2019 ?        00:00:00 [xfs-conv/dm-1]
root        498      2  0  2019 ?        00:00:00 [xfs-cil/dm-1]
root        499      2  0  2019 ?        00:00:00 [xfs-reclaim/dm-]
root        500      2  0  2019 ?        00:00:00 [xfs-log/dm-1]
root        501      2  0  2019 ?        00:00:00 [xfs-eofblocks/d]
root        502      2  0  2019 ?        00:11:25 [xfsaild/dm-1]
root        574      1  0  2019 ?        00:00:39 /usr/lib/systemd/systemd-journald
root        604      1  0  2019 ?        00:00:00 /usr/sbin/lvmetad -f
root        607      2  0  2019 ?        00:00:00 [rpciod]
root        609      2  0  2019 ?        00:00:00 [xprtiod]
root        617      1  0  2019 ?        00:00:01 /usr/lib/systemd/systemd-udevd
root        661      2  0  2019 ?        00:00:01 [kworker/3:1H]
root        737      2  0  2019 ?        00:00:00 [xfs-buf/sda2]
root        738      2  0  2019 ?        00:00:00 [xfs-data/sda2]
root        739      2  0  2019 ?        00:00:00 [xfs-conv/sda2]
root        740      2  0  2019 ?        00:00:00 [xfs-cil/sda2]
root        741      2  0  2019 ?        00:00:00 [xfs-reclaim/sda]
root        742      2  0  2019 ?        00:00:00 [xfs-log/sda2]
root        743      2  0  2019 ?        00:00:01 [kworker/2:1H]
root        744      2  0  2019 ?        00:00:00 [xfs-eofblocks/s]
root        747      2  0  2019 ?        00:00:00 [kvm-irqfd-clean]
root        748      2  0  2019 ?        00:00:00 [xfsaild/sda2]
root        763      2  0  2019 ?        00:00:00 [nvidia-modeset]
root        773      2  0  2019 ?        00:00:00 [kdmflush]
root        774      2  0  2019 ?        00:00:00 [bioset]
root        776      2  0  2019 ?        00:00:00 [kdmflush]
root        777      2  0  2019 ?        00:00:00 [bioset]
root        794      2  0  2019 ?        00:00:00 [xfs-buf/dm-2]
root        795      2  0  2019 ?        00:00:00 [xfs-data/dm-2]
root        796      2  0  2019 ?        00:00:00 [xfs-conv/dm-2]
root        797      2  0  2019 ?        00:00:00 [xfs-cil/dm-2]
root        798      2  0  2019 ?        00:00:00 [xfs-reclaim/dm-]
root        799      2  0  2019 ?        00:00:00 [xfs-log/dm-2]
root        800      2  0  2019 ?        00:00:00 [xfs-buf/dm-3]
root        801      2  0  2019 ?        00:00:00 [xfs-eofblocks/d]
root        802      2  0  2019 ?        00:00:00 [xfs-data/dm-3]
root        803      2  0  2019 ?        00:00:00 [xfs-conv/dm-3]
root        804      2  0  2019 ?        00:00:00 [xfs-cil/dm-3]
root        805      2  0  2019 ?        00:00:00 [xfs-reclaim/dm-]
root        806      2  0  2019 ?        00:00:00 [xfs-log/dm-3]
root        807      2  0  2019 ?        00:00:00 [xfs-eofblocks/d]
root        808      2  0  2019 ?        00:00:29 [xfsaild/dm-2]
root        809      2  0  2019 ?        00:00:00 [xfsaild/dm-3]
root        820      2  0  2019 ?        00:03:34 [kworker/7:1H]
root        833      1  0  2019 ?        00:00:14 /sbin/auditd
root        836    833  0  2019 ?        00:00:13 /sbin/audispd
root        837    836  0  2019 ?        00:00:09 /usr/sbin/sedispatch
root        860      1  0  2019 ?        00:00:00 /sbin/portreserve
libstor+    861      1  0  2019 ?        00:00:08 /usr/bin/lsmd -d
root        863      1  0  2019 ?        00:00:00 /usr/sbin/smartd -n -q never
root        869      1  0  2019 ?        00:01:56 /usr/sbin/rsyslogd -n
polkitd     870      1  0  2019 ?        00:11:33 /usr/lib/polkit-1/polkitd --no-debug
dbus        872      1  0  2019 ?        00:04:50 /bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root        893      1  0  2019 ?        00:07:38 /usr/sbin/irqbalance --foreground
root        895      1  0  2019 ?        00:00:00 /usr/sbin/abrtd -d -s
root        899      1  0  2019 ?        00:00:04 /usr/bin/abrt-watch-log -F BUG: WARNING: at WARNING: CPU: INFO: possible recursive locking detected ernel BUG at list_del corruption list_add corruption do_IRQ: stack overflow: ear stack overflow (cur: eneral protection fault nable to handle kernel ouble fault: RTNL: assertion failed eek! page_mapcount(page) went negative! adness at NETDEV WATCHDOG ysctl table check failed : nobody cared IRQ handler type mismatch Machine Check Exception: Machine check events logged divide error: bounds: coprocessor segment overrun: invalid TSS: segment not present: invalid opcode: alignment check: stack segment: fpu exception: simd exception: iret exception: /var/log/messages -- /usr/bin/abrt-dump-oops -xtD
root        900      1  0  2019 ?        00:00:00 /usr/bin/abrt-watch-log -F Backtrace /var/log/Xorg.0.log -- /usr/bin/abrt-dump-xorg -xD
rtkit       901      1  0  2019 ?        00:00:31 /usr/libexec/rtkit-daemon
root        903      1  0  2019 ?        00:00:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        909      2  0  2019 ?        00:00:00 [kworker/4:1H]
root        910      1  0  2019 ?        00:00:08 /usr/sbin/ModemManager
rpc         918      1  0  2019 ?        00:00:05 /sbin/rpcbind -w
root        922      1  0  2019 ?        00:03:15 /sbin/rngd -f
nscd        932      1  0  2019 ?        00:01:42 /usr/sbin/nscd
root        940      1  0  2019 ?        00:00:03 /usr/sbin/gssproxy -D
root       1299      2  0  2019 ?        00:00:00 [kworker/1:1H]
root       1415      1  0  2019 ?        00:00:00 /sbin/dhclient -1 -q -lf /var/lib/dhclient/dhclient-c6ec7789-576c-441d-a56a-e5b09343395d-eno1.lease -pf /var/run/dhclient-eno1.pid -H atslxws16 eno1
root       1664      1  0  2019 ?        00:00:00 /usr/sbin/sshd -D
root       1667      1  0  2019 ?        00:05:40 /usr/bin/python -Es /usr/sbin/tuned -l -P
root       1674      1  0  2019 ?        00:00:00 /usr/bin/rhsmcertd
rpcuser    1687      1  0  2019 ?        00:00:00 /usr/sbin/rpc.statd
nobody     1691      1  0  2019 ?        00:00:00 /usr/sbin/dnsmasq --conf-file=/etc/dnsmasq/br-instruments.conf
postgres   1730      1  0  2019 ?        00:03:50 /usr/bin/postgres -D /var/opt/hp93000/soc_common/postgres/data1 -p 9906
root       1752      2  0  2019 ?        00:00:05 [kworker/6:1H]
postgres   1986   1730  0  2019 ?        00:00:00 postgres: logger process   
postgres   2065   1730  0  2019 ?        00:00:09 postgres: checkpointer process   
postgres   2067   1730  0  2019 ?        00:00:24 postgres: writer process   
postgres   2068   1730  0  2019 ?        00:00:26 postgres: wal writer process   
postgres   2069   1730  0  2019 ?        00:08:47 postgres: autovacuum launcher process   
postgres   2070   1730  0  2019 ?        00:12:00 postgres: stats collector process   
root       2141      1  0  2019 ?        00:00:55 /usr/lib/systemd/systemd-logind
root       2146      1  0  2019 ?        00:00:22 /usr/libexec/accounts-daemon
root       2167      1  0  2019 ?        00:00:00 /usr/sbin/atd -f
root       2172      1  0  2019 ?        00:00:09 /usr/sbin/crond -n
root       2206      1  0  2019 ?        00:02:21 /usr/sbin/automount --pid-file /run/autofs.pid
root       2326      1  0  2019 ?        00:00:09 /usr/sbin/lightdm
root       2422   2326  1  2019 tty1     20:21:51 /usr/bin/X -background none :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt1 -novtswitch
root       2889      2  0  2019 ?        00:50:03 [irq/61-nvidia]
root       2890      2  0  2019 ?        00:00:00 [nvidia]
root       2902      1  0  2019 ?        00:00:00 rhnsd
root       2953      1  0  2019 ?        00:00:11 /usr/libexec/postfix/master -w
lightdm    3154      1  0  2019 ?        00:00:00 dbus-launch --autolaunch=72f87a62159540608e0ec86bbdb45537 --binary-syntax --close-stderr
lightdm    3156      1  0  2019 ?        00:00:00 /bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
root       3442   2326  0  2019 ?        00:00:00 lightdm --session-child 14 23
root       3467      2  0  2019 ?        00:00:00 [nfsiod]
root       3474      2  0  2019 ?        00:00:00 [nfsv4.0-svc]
alexguo    3484   3442  0  2019 ?        00:00:00 /bin/sh /usr/bin/startkde
alexguo    3515      1  0  2019 ?        00:00:00 dbus-launch --sh-syntax --exit-with-session
alexguo    3516      1  0  2019 ?        00:00:03 /bin/dbus-daemon --fork --print-pid 4 --print-address 6 --session
alexguo    3585      1  0  2019 ?        00:00:00 /usr/libexec/imsettings-daemon
alexguo    3589      1  0  2019 ?        00:00:00 /usr/libexec/gvfsd
alexguo    3641   3484  0  2019 ?        00:00:14 /usr/bin/ssh-agent /bin/sh -c exec -l /bin/bash -c "/usr/bin/startkde"
alexguo    3723      1  0  2019 ?        00:00:00 /usr/libexec/kde4/start_kdeinit +kcminit_startup
alexguo    3724      1  0  2019 ?        00:00:00 kdeinit4: kdeinit4 Running...
alexguo    3725   3724  0  2019 ?        00:00:00 kdeinit4: klauncher [kdeinit] --fd=9
alexguo    3727      1  0  2019 ?        00:02:59 kdeinit4: kded4 [kdeinit]
alexguo    3729      1  0  2019 ?        01:14:27 /usr/libexec/gam_server
alexguo    3744      1  0  2019 ?        00:00:02 kdeinit4: kglobalaccel [kdeinit]
alexguo    3746      1  0  2019 ?        00:00:01 kdeinit4: kwalletd [kdeinit]
colord     3752      1  0  2019 ?        00:00:00 /usr/libexec/colord
alexguo    3760   3484  0  2019 ?        00:00:00 kwrapper4 ksmserver
alexguo    3761   3724  0  2019 ?        00:00:03 kdeinit4: ksmserver [kdeinit]
alexguo    3763      1  0  2019 ?        00:00:37 /usr/bin/kactivitymanagerd
root       3764      1  0  2019 ?        00:00:08 /usr/libexec/upowerd
root       3795      1  0  2019 ?        00:11:26 /usr/lib/udisks2/udisksd --no-debug
alexguo    3821   3761  0  2019 ?        00:03:56 kwin -session 1010febe69d000143937394500000063850000_1569836188_109189
alexguo    3837      1  0  2019 ?        00:35:23 kdeinit4: plasma-desktop [kdeinit]
alexguo    3848   3837  0  2019 ?        00:00:00 ksysguardd
alexguo    3851      1  0  2019 ?        00:00:01 /usr/bin/kuiserver
root       3854      1  0  2019 ?        00:12:13 /usr/sbin/cupsd -f
alexguo    3857      1  0  2019 ?        00:00:30 /usr/bin/akonadi_control
alexguo    3859   3857  0  2019 ?        00:02:25 akonadiserver
alexguo    3865   3857  0  2019 ?        00:00:01 /usr/bin/akonadi_agent_launcher akonadi_akonotes_resource akonadi_akonotes_resource_0
alexguo    3866   3857  0  2019 ?        00:00:01 /usr/bin/akonadi_agent_launcher akonadi_akonotes_resource akonadi_akonotes_resource_1
alexguo    3867   3857  0  2019 ?        00:00:01 /usr/bin/akonadi_agent_launcher akonadi_contacts_resource akonadi_contacts_resource_0
alexguo    3868   3857  0  2019 ?        00:00:01 /usr/bin/akonadi_agent_launcher akonadi_contacts_resource akonadi_contacts_resource_1
alexguo    3869   3857  0  2019 ?        00:00:01 /usr/bin/akonadi_agent_launcher akonadi_ical_resource akonadi_ical_resource_0
alexguo    3870   3857  0  2019 ?        00:00:01 /usr/bin/akonadi_agent_launcher akonadi_ical_resource akonadi_ical_resource_1
alexguo    3871   3857  0  2019 ?        00:00:01 /usr/bin/akonadi_agent_launcher akonadi_maildir_resource akonadi_maildir_resource_0
alexguo    3872   3857  0  2019 ?        00:00:02 /usr/bin/akonadi_maildispatcher_agent --identifier akonadi_maildispatcher_agent
alexguo    3873   3857  0  2019 ?        00:00:07 /usr/bin/akonadi_nepomuk_feeder --identifier akonadi_nepomuk_feeder
alexguo    3914      1  0  2019 ?        00:01:03 kdeinit4: krunner [kdeinit]
alexguo    3919      1  0  2019 ?        00:01:58 /usr/bin/pulseaudio --start --log-target=syslog
alexguo    3932      1  0  2019 ?        00:00:11 kdeinit4: kmix [kdeinit] -session 1010febe69d
alexguo    3937   3724  0  2019 ?        00:00:00 /usr/bin/abrt-applet
alexguo    3938   3724  0  2019 ?        00:00:00 /usr/bin/rhsm-icon
alexguo    3954   3724  0  2019 ?        00:00:00 /usr/bin/xsettings-kde
alexguo    3957      1  0  2019 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
alexguo    3964      1  0  2019 ?        00:00:08 /usr/libexec/kde4/polkit-kde-authentication-agent-1
alexguo    3975   3957  0  2019 ?        00:00:02 /bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
alexguo    4011      1  0  2019 ?        00:00:11 /usr/libexec/at-spi2-registryd --use-gnome-session
alexguo    4019      1  0  2019 ?        00:00:06 /usr/libexec/gconfd-2
alexguo    4038      1  0  2019 ?        00:00:00 /usr/libexec/dconf-service
alexguo    4209      1  0  2019 ?        00:00:12 /usr/bin/knotify4
root      12959      2  0 04:08 ?        00:00:01 [kworker/0:1]
alexguo   23284  28838  0 Jan06 ?        00:02:27 /opt/google/chrome/chrome --type=renderer --field-trial-handle=13895928951569004072,17073135231867264989,131072 --service-pipe-token=D7D13ACF76997370E8F57C43384FB90B --lang=en-US --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=true --enable-pinch --num-raster-threads=4 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553;5,0,3553;5,1,3553;5,2,3553;5,3,3553;5,4,3553;5,5,3553;5,6,3553;5,7,3553;5,8,3553;5,9,3553;5,10,3553;5,11,3553;5,12,3553;5,13,3553;5,14,3553;5,15,3553;5,16,3553;5,17,3553;6,0,3553;6,1,3553;6,2,3553;6,3,3553;6,4,3553;6,5,3553;6,6,3553;6,7,3553;6,8,3553;6,9,3553;6,10,3553;6,11,3553;6,12,3553;6,13,3553;6,14,3553;6,15,3553;6,16,3553;6,17,3553 --disable-accelerated-video-decode --enable-gpu-async-worker-context --service-request-channel-token=D7D13ACF76997370E8F57C43384FB90B --renderer-client-id=37 --shared-files=v8_natives_data:100,v8_snapshot_data:101
alexguo   28820   3724  0 Jan03 ?        00:12:01 /opt/google/chrome/chrome
alexguo   28825  28820  0 Jan03 ?        00:00:00 cat
alexguo   28826  28820  0 Jan03 ?        00:00:00 cat
alexguo   28830  28820  0 Jan03 ?        00:00:00 /opt/google/chrome/chrome-sandbox /opt/google/chrome/chrome --type=zygote
alexguo   28831  28830  0 Jan03 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
alexguo   28835  28831  0 Jan03 ?        00:00:00 /opt/google/chrome/chrome-sandbox /opt/google/chrome/nacl_helper
alexguo   28836  28835  0 Jan03 ?        00:00:00 /opt/google/chrome/nacl_helper
alexguo   28838  28831  0 Jan03 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
alexguo   28915  28820  0 Jan03 ?        00:07:14 /opt/google/chrome/chrome --type=gpu-process --field-trial-handle=13895928951569004072,17073135231867264989,131072 --disable-accelerated-video-decode --gpu-vendor-id=0x10de --gpu-device-id=0x107d --gpu-driver-vendor=Nvidia --gpu-driver-version=390.42 --gpu-driver-date --service-request-channel-token=A310071FFAA4C9A2FD7D7DEC9D100315
alexguo   28917  28915  0 Jan03 ?        00:00:02 /opt/google/chrome/chrome --type=gpu-broker
alexguo   29159  28838  0 Jan03 ?        00:01:28 /opt/google/chrome/chrome --type=renderer --field-trial-handle=13895928951569004072,17073135231867264989,131072 --service-pipe-token=E9199F76C6AE3DC54C8B68B8D6EE6042 --lang=en-US --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=true --enable-pinch --num-raster-threads=4 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553;5,0,3553;5,1,3553;5,2,3553;5,3,3553;5,4,3553;5,5,3553;5,6,3553;5,7,3553;5,8,3553;5,9,3553;5,10,3553;5,11,3553;5,12,3553;5,13,3553;5,14,3553;5,15,3553;5,16,3553;5,17,3553;6,0,3553;6,1,3553;6,2,3553;6,3,3553;6,4,3553;6,5,3553;6,6,3553;6,7,3553;6,8,3553;6,9,3553;6,10,3553;6,11,3553;6,12,3553;6,13,3553;6,14,3553;6,15,3553;6,16,3553;6,17,3553 --disable-accelerated-video-decode --enable-gpu-async-worker-context --service-request-channel-token=E9199F76C6AE3DC54C8B68B8D6EE6042 --renderer-client-id=7 --shared-files=v8_natives_data:100,v8_snapshot_data:101
alexguo   29183  28838  0 Jan03 ?        00:04:57 /opt/google/chrome/chrome --type=renderer --field-trial-handle=13895928951569004072,17073135231867264989,131072 --service-pipe-token=2DD18D30C9D030651BEFFFDE1D561DCE --lang=en-US --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --blink-settings=disallowFetchForDocWrittenScriptsInMainFrame=false,disallowFetchForDocWrittenScriptsInMainFrameOnSlowConnections=true --enable-pinch --num-raster-threads=4 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553;5,0,3553;5,1,3553;5,2,3553;5,3,3553;5,4,3553;5,5,3553;5,6,3553;5,7,3553;5,8,3553;5,9,3553;5,10,3553;5,11,3553;5,12,3553;5,13,3553;5,14,3553;5,15,3553;5,16,3553;5,17,3553;6,0,3553;6,1,3553;6,2,3553;6,3,3553;6,4,3553;6,5,3553;6,6,3553;6,7,3553;6,8,3553;6,9,3553;6,10,3553;6,11,3553;6,12,3553;6,13,3553;6,14,3553;6,15,3553;6,16,3553;6,17,3553 --disable-accelerated-video-decode --enable-gpu-async-worker-context --service-request-channel-token=2DD18D30C9D030651BEFFFDE1D561DCE --renderer-client-id=8 --shared-files=v8_natives_data:100,v8_snapshot_data:101
